x rho u p ie
0.47875 0.45235471103915853 0.8679577416277139 0.32935993226846655 1.8202525818281754
0.48124999999999996 0.446166045167137 0.8818466305166025 0.32306887708800075 1.8102502453261369
0.48375 0.44004529911425255 0.8957355194054917 0.3168811023948354 1.8002754661433222
0.48624999999999996 0.4339919122817462 0.9096244082943802 0.3107951913387927 1.7903282442797313
0.48875 0.4280053271641059 0.9235132971832694 0.30480974266216626 1.7804085797353646
0.49124999999999996 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.49375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.49624999999999997 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.49875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.50125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.50375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5062500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.50875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.51125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5137499999999999 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.51625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.51875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.52125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5237499999999999 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.52625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.52875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.53125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.53375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.53625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5387500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.54125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.54375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.54625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5487500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.55125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.55375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.55625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5587500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.56125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.56375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.56625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5687500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.57125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.57375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.57625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.57875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.58125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.58375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.5862499999999999 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.58875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.59125 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.59375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.59625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.59875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.6012500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.60375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.60625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.60875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.6112500000000001 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.61375 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.61625 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
0.61875 0.4263194281784952 0.9274526200489499 0.30313017805064685 1.7776000694233531
